Title,Publication Date,URL,Summary,Author,Section,Tags,Cleaned_Summary
How Kamala Harris Found Her Footing in the Spotlight,2024-08-13T17:49:02+0000,https://www.nytimes.com/interactive/2024/08/13/us/politics/kamala-harris-presence-videos.html,The vice president long had a reputation as an uneven political messenger prone to missteps. That has steadily been changing.,"By Nicholas Nehamas, Erica L. Green and Ang Li",U.S.,"Harris, Kamala D, Presidential Election of 2024, United States Politics and Government",vice president long reputation uneven political messenger prone missteps steadily changing
Kamala Harris Isn’t Playing It Safe,2024-08-06T20:43:20+0000,https://www.nytimes.com/2024/08/06/opinion/ezra-klein-podcast-vp-pick-harris-walz.html,"In picking Tim Walz, Harris is after more than just Pennsylvania.",By ‘The Ezra Klein Show',Opinion,"audio-neutral-informative, Walz, Tim, Harris, Kamala D, United States Politics and Government, Presidential Election of 2024, Pennsylvania",picking tim walz harris pennsylvania
Kamala Harris Is Speaking. Is She Listening?,2024-08-10T11:00:23+0000,https://www.nytimes.com/2024/08/10/opinion/kamala-harris-gaza-detroit.html,"For a candidate who positions herself as caring, her failure to acknowledge the pain of Gaza protesters is especially jarring.",By M. Gessen,Opinion,"Harris, Kamala D, Presidential Election of 2024, Israel-Gaza War (2023- ), Demonstrations, Protests and Riots, Polls and Public Opinion, Palestinians, Israel, United States Politics and Government, United States International Relations",candidate positions caring failure acknowledge pain gaza protesters especially jarring
Dispatches From a Kamala Harris Field Office,2024-08-08T10:00:19+0000,https://www.nytimes.com/2024/08/08/podcasts/the-daily/kamala-harris-democrats.html,One group of voters may pose the biggest challenge to Democrats’ momentum.,"By Michael Barbaro, Reid J. Epstein, Jessica Cheung, Stella Tan, Rob Szypko, Lynsea Garrison, Rachel Quester, Ben Calhoun, Pat McCusker, Marion Lozano, Dan Powell, Diane Wong, Corey Schreppel, Rowan Niemisto and Alyssa Moxley",Podcasts,"United States Politics and Government, Presidential Election of 2024, Politics and Government, Harris, Kamala D, United States, Wisconsin",one group voters may pose biggest challenge democrats momentum
Progressive Coalition Shifts $25 Million Campaign to Back Kamala Harris,2024-08-13T17:49:55+0000,https://www.nytimes.com/2024/08/13/us/politics/kamala-harris-progressive-ad-campaign.html,The groups are building a voter outreach effort around a unified message from the left targeting Democrats and independents in battleground states.,By Jazmine Ulloa,U.S.,"Presidential Election of 2024, Political Advertising, Social Media, Democratic Party, Harris, Kamala D, Trump, Donald J",groups building voter outreach effort around unified message left targeting democrats independents battleground states
"Atop ABC, a Personal Connection to Kamala Harris",2024-08-11T09:02:12+0000,https://www.nytimes.com/2024/08/11/business/media/abc-debate-dana-walden-kamala-harris.html,"The candidate is a longtime friend of Dana Walden, a senior Disney executive whose portfolio includes ABC News, the host of the next debate. ABC says she does not weigh in on editorial decisions.",By Michael M. Grynbaum and Brooks Barnes,Business Day,"News and News Media, Debates (Political), ABC News, Walt Disney Company, ABC Inc, Walden, Dana, OConnell, Debra (Media Executive), Harris, Kamala D, Television, Presidential Election of 2024, Conflicts of Interest",candidate longtime friend dana walden senior disney executive whose portfolio includes abc news host next debate abc says weigh editorial decisions
Kamala Harris Surprises Everyone,2024-08-05T09:05:22+0000,https://www.nytimes.com/2024/08/05/opinion/kamala-harris-trump-birthrate.html,Has everything totally switched?,By Gail Collins and Bret Stephens,Opinion,"Presidential Election of 2024, United States Politics and Government, Vice Presidents and Vice Presidency (US), Birth Rates, United States Economy, Immigration and Emigration, Democratic Party, Republican Party, Gershkovich, Evan, Trump, Donald J, Vance, J D, Harris, Kamala D, Shapiro, Josh (1973- )",everything totally switched
Kamala Harris and ‘Coach Walz’ Ease Into Their New Partnership,2024-08-07T02:47:25+0000,https://www.nytimes.com/2024/08/06/us/kamala-harris-tim-walz-partnership.html,"A chemistry seems to be developing between Vice President Kamala Harris and her running mate, Gov. Tim Walz of Minnesota, who looks as if he cannot believe his luck.",By Rebecca Davis O'Brien,U.S.,"Walz, Tim, Harris, Kamala D, Trump, Donald J, Philadelphia (Pa), Presidential Election of 2024, Vice Presidents and Vice Presidency (US)",chemistry seems developing vice president kamala harris running mate gov tim walz minnesota looks believe luck
How Kamala Harris Is Already Changing the Face of Presidential Power,2024-08-11T10:00:12+0000,https://www.nytimes.com/2024/08/11/opinion/kamala-harris-candidate-identity.html,"She has a unique challenge about what her race and gender mean together, which could reshape how Americans think about politics.",By Tressie McMillan Cottom,Opinion,"Harris, Kamala D, Presidential Election of 2024, Black People, Blacks, Women and Girls, Minorities, Gender, Presidents and Presidency (US), Walz, Tim",unique challenge race gender mean together could reshape americans think politics
Why Kamala Harris Picked Tim Walz,2024-08-07T10:35:55+0000,https://www.nytimes.com/2024/08/07/briefing/kamala-harris-tim-walz-running-mate.html,The Minnesota governor’s biography and demeanor makes him a familiar figure to many voters.,By Reid J. Epstein,Briefing,"internal-storyline-no, Presidential Election of 2024, Walz, Tim, Harris, Kamala D",minnesota governor biography demeanor makes familiar figure many voters
