Title,Publication Date,URL,Summary,Author,Section,Tags
Doll Dressed in $1 Bills Stolen in Window Crash,1950-04-09T05:00:00+0000,https://www.nytimes.com/1950/04/09/archives/doll-dressed-in-1-bills-stolen-in-window-crash.html,"MECHANICVILLE, N.Y., April 8--Someone smashed a plate glass store window on Main Street today and stole a doll dressed in 100 one-dollar bills.  ",,Archives,
3 HURT IN WINDOW CRASH.; Crowd Pushes Through Plate Glass at Store's Celebration.,1935-05-25T05:00:00+0000,https://www.nytimes.com/1935/05/25/archives/3-hurt-in-window-crash-crowd-pushes-through-plate-glass-at-stores.html,"3 hurt as crowd pushes through plate glass window, N Y C",,Archives,"ACCIDENTS, MISCELLANEOUS"
150 HURT IN LONDON IN GAS MAIN BLAST; Buildings and Windows Crash as Street Opens Up--St. Paul's Windows Damaged,1939-08-05T05:00:00+0000,https://www.nytimes.com/1939/08/05/archives/150-hurt-in-london-in-gas-main-blast-buildings-and-windows-crash-as.html,"150 hurt, gas main blast, London",,Archives,"Great Britain, ACCIDENTS, Explosions"
"JAIL SHELTER WON BY WINDOW CRASH; Jobless Father of 2, Ejected From Home, Hurls Stone as Family Looks On.",1934-10-03T05:00:00+0000,https://www.nytimes.com/1934/10/03/archives/jail-shelter-won-by-window-crash-jobless-father-of-2-ejected-from.html,Seeks jail shelter by throwing stone through florist's window; charges withdrawn,,Archives,"CHRISTIE, ALEX, PAOLILLO, JOS"
THOUSANDS IN RIOT AT VALENTINO BIER; MORE THAN 100 HURT; Crowd at Funeral Church Is Out of Police Control at Times -- Big Windows Crash.,1926-08-25T05:00:00+0000,https://www.nytimes.com/1926/08/25/archives/thousands-in-riot-at-valentino-bier-more-than-100-hurt-crowd-at.html,Riot at bier; Fascisti place guard at coffin; plans for funeral,,Archives,"Valentino, Rudolph"
LIKE BOMBARDMENT ON ELLIS ISLAND; Fifty Hurt as Big Windows Crash In on Hundreds of Officials and Arriving Aliens.,1911-02-02T05:00:00+0000,https://www.nytimes.com/1911/02/02/archives/like-bombardment-on-ellis-island-fifty-hurt-as-big-windows-crash-in.html,3 NJ Central ferries in North River damaged by explosion in Jersey City,,Archives,Ferries
RAIN SWEEPS CITY; AIDS WATER SUPPLY; High Tides Wreck Summer Home at Southampton--Steeple of Jersey City Church Loosened. LIGHTNING SCARES SIX But Atlantic City Travelers Are Not Injured--More Rain is Forecast for Today. Tides Shatter Bulkheads. Window Crashes on Passer-by.,1931-04-02T05:00:00+0000,https://www.nytimes.com/1931/04/02/archives/rain-sweeps-city-aids-water-supply-high-tides-wreck-summer-home-at.html,Jersey City church struck by lightning; storm halts air traffic; tides shatter bulkheads along coast,Special to The New York Times,Archives,"New Jersey, NEWARK, New York State, New Jersey, ACCIDENTS, WINDOW, FALLING"
"BOMB SHAKES UP BINGHAM'S OFFICE; Black Hand Explosion Wrecks Store and Tenements in Elizabeth Street. FOUR ITALIANS ARRESTED Men, Women, and Children Tumble Into the Street as Windows Crash About Them.",1908-03-02T05:00:00+0000,https://www.nytimes.com/1908/03/02/archives/bomb-shakes-up-binghams-office-black-hand-explosion-wrecks-store.html,"Four Italians are under arrest on suspicion that they know something about the explosion. One of the prisoners is Benedito Benigno of 196 Stone Avenue, Brooklyn. The others were arrested at the same address. Two of them are brothers of Benigno. The other gave his name as Ludovico Binconte.  ",,Archives,
"JERSEY PLANT BLAST KILLS 3, INJURES 12; Employes at du Pont Works at Kearny (N.J.) Trapped When Steam Tank Lets Go. DEBRIS SHOWERS THRONGS Rail Workers and Crowds at Erie Station Caught in Rain of Bricks and Glass. 3,500 MARCH TO SAFE ZONE Company Staff in Orderly Exodus-- Windows Crash as Town Quakes-- State to Aid in Inquiry.",1928-06-02T05:00:00+0000,https://www.nytimes.com/1928/06/02/archives/jersey-plant-blast-kills-3-injures-12-employes-at-du-pont-works-at.html,"3 killed, 12 hurt in blast at pyralin plant of E I du Pont de Nemours & Co caused by bursting steam tank; State inquiry launched",Special to The New York Times,Archives,"N J, Kearny, DU PONT, E I, DE NEMOURS CO, ACCIDENTS, Explosions"
"OLD MAN FALLS FAR; BREAKS ONLY AN ARM; Wife Tries in Vain to Stop Him from Jumping Out of the Window. CRASHES THROUGH A ROOF McManus Got Weary of ""Just Walking the Streets"" After His Brother Died.",1908-04-18T05:00:00+0000,https://www.nytimes.com/1908/04/18/archives/old-man-falls-far-breaks-only-an-arm-wife-tries-in-vain-to-stop-him.html,,,Archives,
JET CRASH KILLS PILOT; Impact Throws Dirt Through Windows 100 Yards Away,1949-09-03T05:00:00+0000,https://www.nytimes.com/1949/09/03/archives/jet-crash-kills-pilot-impact-throws-dirt-through-windows-100-yards.html,1 in F-80 crash on test flight near Buffalo,,Archives,"United States, AIRPLANES, MILITARY"
AVIATION: ACCIDENTS; Crashes and the Nation's Safety Record Reason Given COACH SERVICE VOLUME UP WINDOWS AIR SMOKERS INTERNATIONAL TRADE,1951-09-02T05:00:00+0000,https://www.nytimes.com/1951/09/02/archives/aviation-accidents-crashes-and-the-nations-safety-record-reason.html,CAB crash probes seen aid to designers; engineers face problem of speeding evacuation of planes after crashes,By Albert G. Marano,Archives,"United States, United States, United States, AIRLINES, Accidents and Safety, AIRLINES, GENERAL, PASSENGERS, AIRPLANES, COMMERCIAL, Accidents and Safety"
"Used Lexus From Microsoft: 6 Windows, Never Crashed",1999-07-18T05:00:00+0000,https://www.nytimes.com/1999/07/18/business/private-sector-used-lexus-from-microsoft-6-windows-never-crashed.html,"1990 Lexus LS 400 sedan with 82,000 miles, once owned by Bill Gates, is auctioned over Web site for $38,000 by Philip Weigand, who plans to donate most of proceeds to Humane Society of Redmond, Ore; photo (S)",By James G. Cobb,Business Day,"Weigand, Philip, Gates, Bill, Animals, Automobiles, Philanthropy, Auctions, Computers and the Internet"
"2 CARS CRASH INTO SHOPS.; Seeking to Avoid a Collision, They Plow Through 10th AY. Windows.",1933-05-31T05:00:00+0000,https://www.nytimes.com/1933/05/31/archives/2-cars-crash-into-shops-seeking-to-avoid-a-collision-they-plow.html,2 cars attempting to avoid collision crash into shops; 2 hurt,,Archives,"New York City, ACCIDENTS, Automobiles"
"FIVE IN TROLLEY CAR HURT IN BRONX CRASH; Skid Causes 1,000-Pound Boiler to Swerve From Truck and Smash Into Windows.",1936-02-04T05:00:00+0000,https://www.nytimes.com/1936/02/04/archives/five-in-trolley-car-hurt-in-bronx-crash-skid-causes-1000pound.html,"5 passengers hurt as boiler slips off truck, crashes into trolley car, Bronx, N Y",,Archives,ACCIDENTS
10 Injured as Car Crashes Through Window of Store in Massapequa,1978-07-11T05:00:00+0000,https://www.nytimes.com/1978/07/11/archives/10-injured-as-car-crashes-through-window-of-store-in-massapequa.html,"10 persons injured, 2 seriously, when car goes out of control and crashes through window of ice cream store, Massapequa, LI; driver Kenneth Kirschbaum is charged with possession of marijuana (M)",,Archives,"New York State, Roads and Traffic, Accidents and Safety"
Crash of a B-52 in Okinawa Stirs New Outcry on Bases,1968-11-20T05:00:00+0000,https://www.nytimes.com/1968/11/20/archives/crash-of-a-b52-in-okinawa-stirs-new-outcry-on-bases.html,Okinawans renew protests against US mil bases on islands as bomb-laden Vietnam-bound B-52 explodes on takeoff,,Archives,"United States, OKINAWA AND OTHER RYUKYU ISLANDS, MILITARY, AIRPLANES, Accidents and Safety"
"High Wind Batters the City and Seaboard; Resorts Flooded, Windows and Signs Crash",1933-01-26T05:00:00+0000,https://www.nytimes.com/1933/01/26/archives/high-wind-batters-the-city-and-seaboard-resorts-flooded-windows-and.html,High wind; 2 hurt when plate-glass window falls on them,,Archives,"New Jersey, New York City, ACCIDENTS, Glass"
Candy Fantasy Set for Store Window,1969-12-08T05:00:00+0000,https://www.nytimes.com/1969/12/08/archives/candy-fantasy-set-for-store-window.html,"HOBOKEN, N. J. -- A fairyland of castles, pagodas and chalets that will delight the young, the old and any age in between, especially sweet-toothed ones, will be unveiled Friday at Altman's. And it's all edible.  ",By Jean Hewitt,Archives,
"SERGEANT SAVES 10 IN AIRLINE CRASH; Passenger in a Commercial Plane, He Joins Army Lieutenant in Battering Windows THREE PILOTS LOSE LIVES Northwest Transport Overshoots Field, Falls in Ravine, Bursts Into Flames",1942-05-13T05:00:00+0000,https://www.nytimes.com/1942/05/13/archives/sergeant-saves-10-in-airline-crash-passenger-in-a-commercial-plane.html,"Northwest Airlines transport; 3 pilots killed, Miles City",,Archives,"Montana, NORTHWEST AIRLINES INC, ACCIDENTS, AERONAUTICS"
Children Escape in Rail Crash,1962-03-10T05:00:00+0000,https://www.nytimes.com/1962/03/10/archives/children-escape-in-rail-crash.html,,,Archives,
WOMAN DIES IN BRAWL; Crashes Through Plate Glass Window in 'Village',1959-07-08T05:00:00+0000,https://www.nytimes.com/1959/07/08/archives/woman-dies-in-brawl-crashes-through-plate-glass-window-in-village.html,A 26-year-old waitress crashed through a plate glass window in Greenwich Village and was killed at 4:30 A. M. yesterday in a fight with another woman.  ,,Archives,
